entity,pagerank,in_strength
Dexter Wansel,0.000153348,21
Red Hot Chili Peppers,0.000152567,62
The O’Jays,0.000151489,30
Countess Coloratura,0.000151424,2
Billy Joel,0.000151375,21
川村ゆみ,0.000151198,16
dj TAKA,0.00015103,10
Dead Can Dance,0.000150897,26
一之瀬剛,0.00015052,13
Snoop Dogg,0.000150461,54
Twilight Sparkle,0.000150226,1
Rebecca Shoichet,0.000150226,1
Missy Elliott,0.000150066,69
London Symphony Orchestra,0.000149193,18
IRF,0.000148926,1
Rihanna,0.000148831,142
アンメルツP,0.00014845,10
Commodores,0.000148187,35
稲泉りん,0.000148029,18
こなぐすり,0.000147084,10
Bob Dylan,0.000146917,36
Diana Ross,0.000146409,33
Beny Moré,0.000146208,12
David Bowie,0.000145686,73
Kylie Minogue,0.000145083,36
Evelyn “Champagne” King,0.000144651,14
Zedd,0.000144108,32
Grandmaster Flash & The Furious Five,0.000143985,46
Nas,0.000143933,53
上海アリス幻樂団,0.000143629,37
Metal Fingers,0.000143429,13
Brandy,0.000142835,20
Michael C. Hall,0.000141933,1
Rubba,0.000141924,13
佐藤仁美,0.000141025,15
Brenda & the Tabulations,0.000140618,12
The Human League,0.000140566,21
THE IDOLM@STER CINDERELLA GIRLS,0.000140517,16
The Emotions,0.000139825,20
The Jimmy Castor Bunch,0.000139277,15
Iggy Pop,0.000139243,14
Yazoo,0.000138724,11
Human,0.000138164,1
Blondie,0.000138103,32
Merzbow,0.000138004,23
First Choice,0.000137584,19
Soulja Boy,0.000136659,58
zircon,0.000136388,11
Teddy Pendergrass,0.000136054,20
Tears for Fears,0.000135923,35
G Jones,0.000135889,13
Peter Schilling,0.000135729,21
Neil Norman and His Cosmic Orchestra,0.000135655,3
Miles Davis,0.000135534,23
Kesha,0.000135425,137
Al Green,0.000134729,33
Rick James,0.000133294,39
Busta Rhymes,0.000133037,50
Tavares,0.000133008,12
ABBA,0.000132831,33
KaTT,0.000132267,9
Enya,0.000132108,21
Brian Eno,0.000132014,13
Calvin Harris,0.000131986,54
Seduction,0.000131455,1
Avalon,0.000131431,6
Leonard Bernstein,0.000131062,12
Ιάννης Ξενάκης,0.000130581,9
Doug E. Fresh,0.000129902,41
DESURABBITS,0.000129901,9
Smokey Robinson,0.000129529,9
Manu Dibango,0.000129329,4
Assertive,0.000129244,11
Ennio Morricone,0.000129097,40
Travis Scott,0.000128973,28
Weezer,0.000128098,83
Quincy Jones,0.00012744,38
Björk,0.000127036,48
Iron Maiden,0.000126788,22
Willie Hutch,0.000126724,22
ミツキヨ,0.00012664,12
Death Grips,0.000126333,85
Eli & Fur,0.000125904,4
The Stylistics,0.000125748,13
U2,0.000125454,33
Lana Del Rey,0.000125129,36
LL Cool J,0.00012487,38
peak divide,0.000124657,10
Michael Rüsenberg,0.000124644,8
植松伸夫,0.000124159,76
Silva Hound,0.000123862,10
Hemanta Mukherjee,0.000122689,1
XXXTENTACION,0.000122221,18
CRZKNY,0.000122196,4
Aimer,0.000121655,2
deadmau5,0.000121557,42
Quad City DJ’s,0.000121329,91
John Coltrane,0.000121195,8
Jungle Brothers,0.00012102,18
Rick Astley,0.000121003,44
Gil Scott‐Heron,0.000120895,36
Akira Yamaoka,0.000120158,6
Hans Zimmer,0.000119379,31
Zapp,0.000119008,31
Benny Benassi,0.000118945,27
Denny Jaeger,0.000118883,1
R. Kelly,0.000118769,21
Black Eyed Peas,0.000118387,68
Seth Peelle,0.000118321,6
Cameo,0.000117895,27
The Andrews Sisters,0.000117387,4
Louis Armstrong & His All-Stars,0.000117226,12
Beyoncé,0.000116927,82
Lata Mangeshkar,0.000116914,7
初音ミク,0.000116793,9
Trio,0.000116433,17
Aretha Franklin,0.000116018,31
Rose Royce,0.000115951,19
Millie Jackson,0.000115719,13
Jennifer Lopez,0.000115695,44
Asha Bhosle,0.000115534,10
The Dramatics,0.000115497,20
Eazy‐E,0.000115433,28
The Living Tombstone,0.000115358,28
Bryan Kearney,0.000115111,1
Oliver Cheatham,0.000115049,5
Giorgio Moroder,0.000114735,17
讃州中学勇者部,0.000114382,1
Robert Blaker,0.000114187,7
DECO*27,0.000114181,11
キセノンP,0.000114034,25
The Soul Searchers,0.000114031,11
L.E.D.LIGHT-G,0.000113868,1
The Cure,0.000113229,34
Bulgarian State Radio & Television Female Vocal Choir,0.000113078,11
Owl City,0.000112977,60
Kendrick Lamar,0.000112702,68
Syl Johnson,0.000112607,26
Melvin Bliss,0.000112586,16
岡部啓一,0.000112228,11
Christina Aguilera,0.000112033,38
ハートタルト,0.000111433,3
Moby,0.000111366,11
Jefferson Airplane,0.000111308,10
Mobb Deep,0.000110842,24
Diamanda Galás,0.000110617,4
scythe,0.000110268,7
Phil Collins,0.000110253,28
goreshit,0.000110124,32
Boogie Down Productions,0.000109982,48
The Clash,0.000109767,46
D.J.SETUP,0.000109738,2
Boney M.,0.000109523,20
Rhythm Controll,0.00010934,11
Indeep,0.000109114,17
Smash Mouth,0.000109047,78
Crystal Waters,0.000108872,15
George Duke,0.000108859,16
Sam & Dave,0.000108847,5
Patrice Rushen,0.000108709,23
The Bar‐Kays,0.000108687,22
The Pharcyde,0.000108648,6
Sfire,0.000108584,1
Necro,0.000108502,10
Afrika Bambaataa & Soulsonic Force,0.000107893,19
Boards of Canada,0.00010773,22
Sade,0.000107618,29
Slick Rick,0.000107522,19
KRS‐One,0.000107129,25
KARUT,0.000106834,9
Digital Underground,0.000106543,6
DJ Gunshot,0.000106379,2
Daryl Hall & John Oates,0.000105919,34
Felo Man,0.000105758,1
The Rolling Stones,0.000105672,68
AC/DC,0.000105345,46
Terry Day,0.000105146,2
SOPHIE,0.000105052,25
Nicki Minaj,0.00010488,56
livetune,0.000104852,6
Vylet Pony,0.000104756,20
Coldplay,0.000104312,110
Ulver,0.000103981,6
The Miracles,0.000103942,12
Snap!,0.0001038,15
Fleetwood Mac,0.000103726,29
John Barry,0.00010357,22
高坂穂乃果,0.00010323,4
C’hantal,0.000103213,7
ヒャダイン,0.00010321,8
ShiZi,0.00010308,7
Nanode,0.00010308,7
スタァライト九九組,0.00010308,8
Rammstein,0.000102858,21
Yello,0.000102598,20
Donald Byrd,0.000102529,27
The Delfonics,0.000102012,11
Céline Dion,0.000101762,14
Average White Band,0.000101691,29
George Benson,0.000101623,17
The Temptations,0.000101158,29
Eddie Morton,0.000101087,3
The Showboys,0.000100949,10
Gladys Knight & the Pips,0.000100908,15
Ultramagnetic MC’s,0.000100785,18
Two Door Cinema Club,0.000100742,7
MGMT,0.00010057,38
John Carpenter,0.000100378,16
Zion,0.000100376,6
UGK,0.000100368,15
Ella Washington,0.000100229,1
A Tribe Called Quest,9.96382e-05,34
General Mumble,9.91437e-05,7
NBC,9.8659e-05,5
Imogen Heap,9.76702e-05,23
Eiffel 65,9.76566e-05,23
Liquid Soul,9.76411e-05,5
David Guetta,9.75607e-05,66
高田雅史,9.74508e-05,15
Minnie Riperton,9.68534e-05,21
Dee!,9.68322e-05,8
永田権太,9.67978e-05,18
Seth Parker,9.65806e-05,2
増田順一,9.62466e-05,18
Future,9.61579e-05,29
Dizzee Rascal,9.60802e-05,19
eleventwelfth,9.60376e-05,6
ノア,9.58921e-05,6
Frank Zappa,9.5832e-05,10
"Grover Washington, Jr.",9.55827e-05,28
Miley Cyrus,9.53774e-05,59
小林オニキス,9.53181e-05,2
The Police,9.52599e-05,43
Audio Two,9.51495e-05,19
Bohannon,9.51229e-05,16
Bronski Beat,9.51179e-05,7
B.T. Express,9.49968e-05,19
Taylor Swift,9.49597e-05,146
Philharmonia Orchestra,9.48474e-05,17
John van Kesteren,9.47026e-05,4
長沼英樹,9.44095e-05,54
OutKast,9.42443e-05,76
Carpenters,9.38814e-05,12
Double 99,9.38195e-05,3
The Last Poets,9.38105e-05,16
Thelonious Monk,9.36164e-05,18
MFSB,9.32014e-05,13
ShibayanRecords,9.31488e-05,11
Roger Waters,9.30574e-05,5
Fela Kuti,9.2974e-05,31
Harold Melvin & The Blue Notes,9.29322e-05,14
The Kid LAROI,9.2916e-05,11
Basement Jaxx,9.26454e-05,22
Soul II Soul,9.23028e-05,14
森英治,9.22136e-05,40
Nitzer Ebb,9.1979e-05,6
Wiz Khalifa,9.19781e-05,25
Cyndi Lauper,9.17116e-05,13
The Philadelphia Orchestra,9.12276e-05,4
Pet Shop Boys,9.09888e-05,24
Sia,9.07528e-05,15
The Jimi Hendrix Experience,9.06648e-05,29
Chicago,9.05136e-05,15
Jerry Goldsmith,9.04971e-05,7
Roxy Music,9.04194e-05,9
Syncopix,9.03868e-05,5
Hunnid-P,9.03138e-05,20
Stardust,9.00773e-05,14
Beenie Man,8.98151e-05,11
Gang Starr,8.98095e-05,25
Tom Tykwer,8.97811e-05,5
Maduk,8.97469e-05,5
The Shangri‐Las,8.96686e-05,11
Fred Wesley,8.96338e-05,10
Morten Granau,8.96254e-05,6
八月二雪,8.95384e-05,5
The Chi‐Lites,8.94229e-05,16
Goblin,8.92307e-05,7
John Coltrane Quartet,8.92151e-05,1
Nena,8.90273e-05,12
Karen Young,8.89983e-05,6
Roy Ayers Ubiquity,8.88165e-05,25
The Blackbyrds,8.87696e-05,28
Rosemary June,8.87212e-05,15
劇団ひととせ,8.87042e-05,10
Lizbeth Myles,8.87042e-05,20
Hat Films,8.87042e-05,6
Spice Girls,8.86124e-05,22
Virtual Self,8.85232e-05,10
シオカラーズ,8.83422e-05,6
Day.Din,8.81389e-05,9
ASA-CHANG&巡礼,8.81302e-05,1
Feist,8.80853e-05,5
Erland Hagegård,8.80831e-05,6
Sly & the Family Stone,8.80652e-05,40
David Tudor,8.74165e-05,1
Whodini,8.73863e-05,20
Black Sabbath,8.72401e-05,37
Pendulum,8.70021e-05,21
Lou Donaldson,8.68693e-05,17
Jane’s Addiction,8.68579e-05,10
Neelix,8.6841e-05,5
Roland Clark,8.6475e-05,4
Vangelis,8.64519e-05,13
Dillon Francis,8.6375e-05,23
川井憲次,8.62971e-05,8
Clark Powell,8.59806e-05,10
Sinnamon,8.5641e-05,8
Michael Guy Bowman,8.53787e-05,17
Wisin,8.52497e-05,2
Booker T. & the MG’s,8.50881e-05,10
My Little Pony,8.50181e-05,11
Marilyn Manson,8.48231e-05,24
Manu Chao,8.46092e-05,8
ACRAZE,8.4525e-05,4
Domino,8.43751e-05,2
Risk Junk,8.41831e-05,1
iconoclasm,8.41831e-05,1
Rufus,8.41241e-05,14
Fats Waller and His Rhythm,8.40681e-05,14
Edward Johannes,8.40681e-05,2
Nulb,8.40681e-05,2
אריק איינשטיין,8.40681e-05,2
Girls Dead Monster,8.34735e-05,11
Juicy J,8.34299e-05,14
Tony Igy,8.32105e-05,6
The Time,8.32047e-05,6
かめりあ,8.32024e-05,10
Jimmy “Bo” Horne,8.31655e-05,10
Lily Allen,8.29559e-05,50
Alex Rosetti,8.27828e-05,6
Siouxsie and the Banshees,8.27228e-05,11
Yellow Magic Orchestra,8.26216e-05,5
Genesis,8.25749e-05,27
μ's,8.25636e-05,38
坂本龍一,8.24556e-05,12
Mat Zo,8.24387e-05,4
KC and the Sunshine Band,8.23773e-05,26
Kevin MacLeod,8.23406e-05,26
Foreigner,8.23253e-05,17
Sufjan Stevens,8.23077e-05,28
Whitaker Trebella,8.22048e-05,1
George Clinton,8.21906e-05,12
"Choir of King’s College, Cambridge",8.21356e-05,2
Guns N’ Roses,8.21303e-05,11
Ben E. King,8.21212e-05,13
高橋洋子,8.2045e-05,18
L.E.D.,8.19754e-05,6
Sheila Armstrong,8.19701e-05,6
Reizoko Cj,8.1921e-05,20
歌種やすみ,8.1728e-05,1
Gabriela Robin,8.1587e-05,3
Limp Bizkit,8.14063e-05,41
Daddy Yankee,8.13564e-05,9
Maroon 5,8.13417e-05,76
Bobby Caldwell,8.13402e-05,16
LMFAO,8.13177e-05,88
Stu Phillips,8.12732e-05,6
Frou Frou,8.12268e-05,9
Utopian Concept,8.11916e-05,2
Steve Miller Band,8.10793e-05,19
NOMA,8.07513e-05,5
Taana Gardner,8.04898e-05,8
Underworld,8.04532e-05,14
-45,8.03852e-05,4
Common,8.03462e-05,18
Toto,8.02815e-05,19
Alan Walker,8.01239e-05,15
hanali,8.00787e-05,7
The Bulgarian Voices Angelite,7.98733e-05,3
Bessie Smith & Her Band,7.98572e-05,1
三毛猫ホームレス,7.97366e-05,6
Kano,7.9704e-05,13
Avicii,7.95922e-05,42
Van Halen,7.95609e-05,26
The Main Ingredient,7.95477e-05,12
Robert Miles,7.95367e-05,8
S3RL,7.95002e-05,20
George Michael,7.9469e-05,27
Vini Vici,7.94625e-05,2
Lil Jon & The East Side Boyz,7.94085e-05,42
Class Action,7.92597e-05,6
Raphael,7.91204e-05,5
Play School,7.91204e-05,6
XM -Xenon Maiden-,7.8888e-05,5
Bessie Smith,7.86616e-05,2
Johnny Hallyday,7.85901e-05,3
Lia,7.85769e-05,18
ABC,7.85769e-05,3
Futuramerlin,7.85263e-05,6
The Mohawks,7.8201e-05,16
The Who,7.81823e-05,24
ZHU,7.79887e-05,9
Chor des Bayerischen Rundfunks,7.78782e-05,8
Wrathu,7.78311e-05,9
The Gap Band,7.78044e-05,15
The Beach Boys,7.77744e-05,27
Florence + the Machine,7.77479e-05,20
Asia,7.76398e-05,3
The Sugarhill Gang,7.76389e-05,23
M.I.A.,7.75987e-05,40
Idris Muhammad,7.74176e-05,16
Shirley Bassey,7.73816e-05,8
Brick,7.73072e-05,6
Alessia Cara,7.73032e-05,4
Udit Narayan,7.72676e-05,2
Marva Whitney,7.69368e-05,8
Hubert Kah,7.68322e-05,4
Stephanie Mills,7.68077e-05,7
Kate Bush,7.66324e-05,14
a‐ha,7.6629e-05,16
Los Ángeles Negros,7.65687e-05,9
祖堅正慶,7.64632e-05,12
The Monkees,7.6458e-05,13
Jowell & Randy,7.63869e-05,4
Gary Glitter,7.63847e-05,8
Ariana Grande,7.63118e-05,76
テンタクルズ,7.61504e-05,6
Bernard Wright,7.61163e-05,7
Etta James,7.60936e-05,12
David Axelrod,7.59593e-05,30
Tower of Power,7.59483e-05,7
Anita Baker,7.57837e-05,12
Thelonious Monk Quartet,7.57624e-05,1
Dudley Moore,7.57284e-05,6
Lionel Richie,7.57227e-05,9
Cheryl Lynn,7.56092e-05,15
Captain Hook,7.5545e-05,6
Cazuza,7.53553e-05,9
Cherrelle,7.52819e-05,5
廻転楕円体,7.50929e-05,6
Destiny’s Child,7.50916e-05,36
Toumani Diabaté,7.50706e-05,2
Joachim Witt,7.48425e-05,3
Cybotron,7.46608e-05,4
Eurobeat Brony,7.46155e-05,9
Balkan Beat Box,7.45738e-05,4
Sister Sledge,7.45623e-05,14
Ol’ Dirty Bastard,7.44173e-05,15
Shadow Child,7.43284e-05,5
Fred Owusu,7.43284e-05,4
飯吉新,7.43284e-05,6
French 79,7.43284e-05,4
siu,7.43284e-05,4
Unzucht,7.43284e-05,4
Futuristic Swaver,7.43284e-05,4
Fantômas,7.43284e-05,4
MUG‐MO,7.43284e-05,7
Rokas Yan,7.43284e-05,5
세용,7.43284e-05,4
魔防隊七番組,7.43284e-05,4
Crispin Hands,7.43284e-05,8
Crepusculum,7.43284e-05,4
KAH,7.43284e-05,4
SIAMÉS,7.43284e-05,4
ココ,7.42984e-05,2
DJ Jazzy Jeff & the Fresh Prince,7.41697e-05,21
Wisin & Yandel,7.40957e-05,3
Trina,7.39031e-05,6
Sex Pistols,7.38615e-05,20
Jeff Wayne,7.36384e-05,4
Macklemore & Ryan Lewis,7.35055e-05,24
Deep Purple,7.34845e-05,27
The Alan Parsons Project,7.34516e-05,10
The Henry Mancini Orchestra,7.33776e-05,9
Avril Lavigne,7.32509e-05,61
Oasis,7.31834e-05,52
Justin Bieber,7.31105e-05,43
Cardi B,7.30814e-05,26
Coolio,7.30705e-05,13
Steve Winwood,7.3033e-05,8
Lil Nas X,7.3002e-05,40
Merle Haggard,7.29356e-05,1
Kelis,7.27859e-05,27
Peech Boys,7.27616e-05,8
Massive Attack,7.26185e-05,76
Joni Mitchell,7.25405e-05,7
Ethel Cain,7.25384e-05,9
Laibach,7.24798e-05,4
Method Man & Redman,7.23987e-05,7
Technotronic,7.2334e-05,18
Billy Cobham,7.22623e-05,14
Xzibit,7.2238e-05,12
Marlena Shaw,7.21884e-05,13
Donny Hathaway,7.21447e-05,21
Mike Oldfield,7.20625e-05,13
デッドボールP,7.20185e-05,7
Electric Light Orchestra,7.19443e-05,19
Peter Hont,7.19325e-05,7
Harold Budd,7.19262e-05,3
Autechre,7.19017e-05,23
Sage the Gemini,7.18678e-05,8
Aqua,7.18617e-05,17
C+C Music Factory,7.18612e-05,20
Ramsey Lewis,7.18076e-05,15
Eddie Kendricks,7.17109e-05,17
大谷智哉,7.16962e-05,30
Griffin Village,7.16823e-05,5
Arca,7.15174e-05,4
Midnight Star,7.14264e-05,10
Motörhead,7.13471e-05,10
The Pointer Sisters,7.12914e-05,12
Sean Paul,7.11237e-05,23
Fatback,7.08675e-05,19
Estelle,7.08151e-05,13
Ray Parker Jr.,7.07701e-05,27
J. Cole,7.07657e-05,13
千石撫子,7.06887e-05,31
D‐Train,7.06875e-05,7
Ultra Naté,7.06248e-05,5
LazyTown,7.0542e-05,13
Bee Gees,7.04618e-05,26
Grace Jones,7.03369e-05,12
Cher,7.02729e-05,12
KSHMR,7.02452e-05,3
Freeform,7.01906e-05,8
Luiz Bonfá,7.00247e-05,3
Duran Duran,7.00058e-05,15
Mori Calliope,6.99363e-05,12
O‐Zone,6.97778e-05,10
Vengaboys,6.97487e-05,21
Together,6.97095e-05,9
The Smiths,6.96539e-05,16
Ice Cube,6.96053e-05,29
Steven Universe,6.95109e-05,5
光田康典,6.93659e-05,42
Fats Waller,6.92154e-05,1
lynndova,6.92154e-05,1
Foresense,6.92154e-05,1
Offer Nissim,6.92154e-05,1
Jason Weaver,6.921e-05,1
Fort Minor,6.90646e-05,53
Flo Rida,6.90278e-05,50
Flume,6.87658e-05,9
Джиган,6.87386e-05,1
和泉幸奇,6.86426e-05,13
Breakwater,6.85019e-05,3
Can,6.84518e-05,12
Crystal Castles,6.84244e-05,13
MALINDA,6.83684e-05,4
John Williams,6.82573e-05,11
The Brothers Johnson,6.82115e-05,6
Justin Timberlake,6.81558e-05,54
Suresh Wadkar,6.80511e-05,2
Timothy Hugh,6.80481e-05,2
William Bell,6.80071e-05,7
Tori Amos,6.79027e-05,9
Extrabreit,6.78503e-05,5
Malcolm McLaren,6.78227e-05,16
Perfume,6.77633e-05,7
Survivor,6.77592e-05,20
Green Day,6.77378e-05,75
Giga,6.77104e-05,6
Billie Eilish,6.76143e-05,39
iamerror,6.75763e-05,12
Fugees,6.75721e-05,18
Les McCann,6.75606e-05,14
Ann Peebles,6.75296e-05,7
Yasiin Bey,6.74391e-05,16
Heart,6.73887e-05,5
Gary’s Gang,6.73617e-05,4
Ernst Senff,6.73015e-05,16
Ashford & Simpson,6.71405e-05,7
FREq,6.71381e-05,2
Ice‐T,6.69537e-05,9
Stromae,6.69475e-05,28
Fall Out Boy,6.68507e-05,40
Alexander Brandon,6.68215e-05,8
Alicia Keys,6.68097e-05,15
Tame Impala,6.67986e-05,19
Billy Stewart,6.67954e-05,5
Bill Evans,6.67054e-05,7
De La Soul,6.66532e-05,21
Suzanne Vega,6.66447e-05,8
Mr. Sauceman,6.66303e-05,7
Alka Yagnik,6.64575e-05,2
John Summit,6.64407e-05,5
Alice DeeJay,6.64108e-05,10
Pitbull,6.62297e-05,53
本間勇輔,6.62111e-05,5
The Playmates,6.61899e-05,2
Talking Heads,6.60113e-05,24
Incognito,6.60016e-05,2
Spoonie Gee,6.59702e-05,12
Roy Ayers,6.59351e-05,15
Atlas,6.5721e-05,2
Timbaland,6.56382e-05,22
Skull Snaps,6.54317e-05,15
Ray Charles,6.5396e-05,7
Fishbone,6.53833e-05,2
Just‐Ice,6.53749e-05,19
Usher,6.53558e-05,55
Deborah Cox,6.53316e-05,4
Todd Rundgren,6.52625e-05,4
Jason Derulo,6.51995e-05,38
Dua Lipa,6.50721e-05,43
Mr. L,6.50665e-05,2
A.D.O.R.,6.50437e-05,2
Jean‐Luc Ponty,6.49749e-05,3
星宮とと,6.48648e-05,12
Elton John,6.47831e-05,39
Hank Williams,6.47217e-05,4
ハッピーくるくる,6.4694e-05,3
남구민,6.45009e-05,1
Camilo Sesto,6.44268e-05,6
Lemon Demon,6.44187e-05,36
Julie Driscoll,6.44014e-05,2
Max Richter,6.43906e-05,6
SEGA Sound Team,6.42324e-05,24
Ellie Goulding,6.42023e-05,52
The Charmels,6.41959e-05,7
戸高一生,6.41583e-05,17
The Toy Dolls,6.41071e-05,2
Kelly Rowland,6.4056e-05,4
Erykah Badu,6.39848e-05,11
Heresy,6.39803e-05,1
Renée Elise Goldsberry,6.39557e-05,3
Rockwell,6.39002e-05,9
Nicholas Lens,6.37714e-05,1
O’Keefe Music Foundation,6.37714e-05,1
Ÿuma,6.36524e-05,2
Bruno Mars,6.36313e-05,75
MIEKO,6.35755e-05,1
景山将太,6.35685e-05,8
Mark J. Hadley,6.35666e-05,5
Dead or Alive,6.34468e-05,17
Cerrone,6.34326e-05,18
渋谷凛,6.31522e-05,4
The Dave Brubeck Quartet,6.30954e-05,8
Pérez Prado and His Orchestra,6.30852e-05,5
Corona,6.30755e-05,4
Vice,6.29802e-05,2
Stormzy,6.28813e-05,3
Bell Biv DeVoe,6.2857e-05,14
Refused,6.28456e-05,2
Scarface,6.28455e-05,6
David Shire,6.2812e-05,3
Александр Порфирьевич Бородин,6.27918e-05,1
Nor,6.27479e-05,9
Cassie,6.26925e-05,6
足立美奈子,6.26489e-05,6
David Gilmour,6.25645e-05,3
Kitsune²,6.24632e-05,7
The xx,6.24325e-05,27
Ансамбль Дмитрия Покровского,6.23766e-05,1
Franz Ferdinand,6.23399e-05,22
Gilberto Gil,6.23007e-05,6
Steps,6.22766e-05,4
glaive,6.21844e-05,17
French Affair,6.21618e-05,1
Gene Harris & The Three Sounds,6.21588e-05,2
Lucy Swann,6.20063e-05,4
稲葉曇,6.18461e-05,6
The Moments,6.17534e-05,13
T. Rex,6.16933e-05,10
Skinny Puppy,6.16572e-05,4
Dune,6.16352e-05,1
Max Coveri,6.15963e-05,8
London Philharmonic Orchestra,6.15499e-05,6
Squarepusher,6.14967e-05,11
Foster the People,6.13864e-05,19
